100, 110, 84, 49
200, 277, 186, 146
300, 448, 266, 271
400, 618, 314, 432
500, 791, 366, 650
600, 963, 445, 944
700, 1133, 543, 1269
800, 1305, 650, 931
900, 1477, 760, 1129
1000, 1647, 873, 1360
