100, 74, 93, 546
200, 141, 196, 703
300, 212, 311, 811
400, 282, 480, 895
500, 355, 599, 935
600, 427, 665, 988
700, 497, 722, 1120
800, 569, 785, 1851
900, 641, 856, 1946
1000, 711, 935, 1977
