100, 12, 12, 2745
200, 29, 25, 2647
300, 45, 40, 2949
400, 65, 88, 3492
500, 82, 134, 3958
600, 102, 160, 4689
700, 120, 175, 5285
800, 140, 188, 3901
900, 159, 201, 4188
1000, 179, 214, 4430
